service,connection,phrase,weight
SHS Legacy,Any,Cx have a doorbell camera not working about a month ago.,4
SHS Legacy,Any,Cx have a doorbell not connecting to WiFi.,4
SHS Legacy,Any,Cx have a power outage yesterday and cameras didnt work after that.,4
SHS Legacy,Any,Cx having issue with doorbell camera not working since january.,4
SHS Legacy,Any,Cx having issues with both outdoor cameras after tech replace modem.,4
SHS Legacy,Any,Cx is having issues with recordings on cameras.,4
SHS Legacy,Any,Cx mention some door window sensors shows as closed but they are actually open.,4
SHS Legacy,Any,Cx need to leave and we unable to check sensors.,4
SHS Legacy,Any,Cx not at home so she drive back and sensor fell off from door.,4
SHS Legacy,Any,Cx proceed to install sensor on door and is working now.,4
SHS Legacy,Any,Cx transfered from care loyalty to get assistance with garage door controller.,4
SHS Legacy,Any,Cx turn on booster and now cameras working.,4
SHS Legacy,Any,Cx turn on panel and start connecting to WiFi and all sensors devices.,4
SHS Legacy,Any,Cx unable to use doorbell camera nor reconnect camera to WiFi.,4
SHS Legacy,Any,Cx using masking tape put magnetic back to doorframe and sensor start working again.,4
SHS Legacy,Any,Cx want to make sure doorbell send notification to all cellphones when trigered.,4
SHS Legacy,Any,Cx wants to connect cameras to WiFi again.,4
SHS Legacy,Any,Dispatch tech for camera not connected to WiFi added to account.,4
SHS Legacy,Any,Dispatch tech to rconnect garage controller to app and WiFi.,4
SHS Legacy,Any,Doorbell and backyard cameras successfully connected to account and new WiFi.,4
SHS Legacy,Any,Educate about what she can do with old sensor.,4
SHS Legacy,Any,Educate cx about recording rules because cameras have no recording rule.,4
SHS Legacy,Any,Educate cx about this and help her modifying rules for both cameras.,4
SHS Legacy,Any,Educate cx and proceed with camera pairing process.,4
SHS Legacy,Any,Explain to cx that this doors need a door window sensor to trigger alarm.,4
SHS Legacy,Any,Guide cx to re add cameras but cx unable to reach cameras.,4
SHS Legacy,Any,He already replace batteries but sensor still beeping.,4
SHS Legacy,Any,He need a tech to fix cameras and connect them properly.,4
SHS Legacy,Any,He restart modem and disconnect blink cameras now not working.,4
SHS Legacy,Any,He try to do the troubleshoot but unable to connect camera.,4
SHS Legacy,Any,Help cx deleting old sensor and rename new sensor.,4
SHS Legacy,Any,Help cx to add camera on his app and follow steps.,4
SHS Legacy,Any,Help cx to connect camera to WiFi and is working now.,4
SHS Legacy,Any,Help cx to reconnect camera back to WiFi and set rules for recording.,4
SHS Legacy,Any,Help cx to remove readd device and connect camera to WiFi using app.,4
SHS Legacy,Any,Help cx with questions about app recording rules settings and devices on shs app.,4
SHS Legacy,Any,Now we add new sensor back to account and is showing ok.,4
SHS Legacy,Any,Proceed to delete old sensor and save changes.,4
SHS Legacy,Any,Proceed with WiFi pairing on camera and is working now.,4
SHS Legacy,Any,Proceed with add camera and apply discount for 1 time charge.,4
SHS Legacy,Any,Proceed with tech dispatch on CSR for camera installation.,4
SHS Legacy,Any,Put sensor back and cx not sure where is the co detector upstairs.,4
SHS Legacy,Any,Regarding garage door camera cx didnt reach camera because is too high.,4
SHS Legacy,Any,Remove camera from account and readd using add device option.,4
SHS Legacy,Any,Remove sensor from wall remove batteries and check polarity.,4
SHS Legacy,Any,Request login and create rule from shs portal for cx.,4
SHS Legacy,Any,Try to factory reset camera for 2 min and still blue.,4
SHS Legacy,Any,Try to reset camera and stay on solid blue.,4
SHS Legacy,Any,Unplug camera from power and re coonect after a minute and still blue.,4
SHS Legacy,Any,Use a different power outlet and no connectivity for camera.,4
SHS Legacy,Any,We check sensors and cx remove a smoke sensor instead.,4
SHS Legacy,Any,We put system on test and add sensors with serial number.,4
SHS Legacy,Any,We reconnect sensor and put system on test.,4
SHS Legacy,Any,We try with front door camera but cx hang up the call by accident.,4
SHS Legacy,Any,We use app and ap mode for all cameras.,4
Telus Email,Any,Check portal one stop and update email.,4
Telus Email,Any,Check portalonestop and cx with a wrong email.,4
Telus Email,Any,Cx cannot log in to her telus email.,4
Telus Email,Any,Cx have multiple email and alerts about some devices not working properly.,4
Telus Email,Any,Cx is having issues to get the emails on windows email.,4
Telus Email,Any,Cx is having issues with the telus email.,4
Telus Email,Any,Cx not receiving emails since 4 or 5 months ago.,4
Telus Email,Any,Cx receive an email about an issue with main panel.,4
Telus Email,Any,Cx still unable to login to account on mail app.,4
Telus Email,Any,Fix problem with email and help cx to create the correct email account.,4
Telus Email,Any,Guide cx to get to gmail on chrome.,4
Telus Email,Any,Left vm and share videos to email with WiFi pairing instructions.,4
Telus Email,Any,Perform sensitive transaction and send email password reset.,4
Telus Email,Any,Share remote pairing instructions with go send on the email.,4
Telus Email,Any,They didnt receive the email so she cant print it.,4
Telus Email,Any,Unable to login receive emails since aug 1.,4
Telus Email,Any,We resend the email and she able to complete the profile creation.,4
Telus Email,Any,We review adc and cx has a different email on it.,4
