service,connection,phrase,weight
HighSpeed,Copper,Cx turn on booster and now cameras working.,4
HighSpeed,Copper,Cx turn on panel and start connecting to WiFi and all sensors devices.,4
HighSpeed,Copper,Cx unable to connect to WiFi in the computer after tech arrive.,4
HighSpeed,Copper,Cx unable to use doorbell camera nor reconnect camera to WiFi.,4
HighSpeed,Copper,Cx wants to connect cameras to WiFi again.,4
HighSpeed,Copper,Cx wants to pair living room TV remote with TV screen.,4
HighSpeed,Copper,Cx will go home to check equipment and WiFi before calling again.,4
HighSpeed,Copper,Cx with good WiFi on cellphone but bad WiFi on computer.,4
HighSpeed,Copper,Cx with good coverage but boosters not hardwired.,4
HighSpeed,Copper,Dispatch tech for camera not connected to WiFi added to account.,4
HighSpeed,Copper,Dispatch tech to rconnect garage controller to app and WiFi.,4
HighSpeed,Copper,Doorbell and backyard cameras successfully connected to account and new WiFi.,4
HighSpeed,Copper,Educate about WiFi and ethernet connetion on computer.,4
HighSpeed,Copper,Educate about how internet work and slow speed.,4
HighSpeed,Copper,Educate cx and proceed with camera pairing process.,4
HighSpeed,Copper,Educate x and offer WiFi plus.,4
HighSpeed,Copper,Find out booster is too far awa.,4
HighSpeed,Copper,Follow no sync workflow and suggest to check physical.,4
HighSpeed,Copper,Follow steps and connect wstb to WiFi.,4
HighSpeed,Copper,Follow steps to re connect gateway controller to WiFi.,4
HighSpeed,Copper,Guide cx to use troubleshoot steps on cellphone but unable to reconnect to WiFi.,4
HighSpeed,Copper,He now able to connect to WiFi on the computer.,4
HighSpeed,Copper,Help cx doing the WiFi pairing agian on both.,4
HighSpeed,Copper,Help cx to connect camera to WiFi and is working now.,4
HighSpeed,Copper,Help cx to delete gateway and successfully reconnect gateway to WiFi.,4
HighSpeed,Copper,Help cx to get WiFi name and WiFi password.,4
HighSpeed,Copper,Help cx to move booster downstairs but no internet connection.,4
HighSpeed,Copper,Help cx to reconnect camera back to WiFi and set rules for recording.,4
HighSpeed,Copper,Help cx to remove readd device and connect camera to WiFi using app.,4
HighSpeed,Copper,Help cx with the setup and the inicial WiFi connection.,4
HighSpeed,Copper,Internet is working great based on his speedtest.,4
